target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	6074	1081.48
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	368	569.228
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	1257	193.915
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	897	128.748
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	144	62.3676
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	113	28.7045
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	432	207.316
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	1104	148.841
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	51	18.8388
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	118	12.1828
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	100	28.8258
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	373	35.8799
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	221	45.0432
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	151	27.3066
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	87	25.4597
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	38	11.9695
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	51.5096	11.0853
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	32	8.62175
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	31	7.607
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	277	66.5581
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	74	27.161
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	42	14.6698
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	113	15.3421
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	45	11.431
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	22	6.21754
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	103	11.4753
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	236	41.8908
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	21	5.63175
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	29	7.77717
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	178	23.612
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	153	59.1656
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	269	52.4212
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	69	17.0768
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	173	35.385
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	363	168.599
lcl|NZ_CP030271.1_cds_WP_011336761.1_39	531	232	102	76.1673
lcl|NZ_CP030271.1_cds_WP_011336762.1_40	1104	805	677	145.696
lcl|NZ_CP030271.1_cds_WP_011336763.1_41	1272	973	127	22.6124
lcl|NZ_CP030271.1_cds_WP_002722128.1_42	1119	820	541	114.298
lcl|NZ_CP030271.1_cds_WP_002722129.1_43	639	340	38	19.3625
lcl|NZ_CP030271.1_cds_WP_011336764.1_44	465	166	8	8.34907
lcl|NZ_CP030271.1_cds_WP_002722131.1_45	291	13.7365	27	340.522
lcl|NZ_CP030271.1_cds_WP_011336766.1_46	705	406	680	290.161
lcl|NZ_CP030271.1_cds_WP_011336767.1_47	372	73.0112	57	135.251
lcl|NZ_CP030271.1_cds_WP_011336768.1_48	1098	799	1743	377.926
lcl|NZ_CP030271.1_cds_WP_011336769.1_49	1239	940	2206	406.569
lcl|NZ_CP030271.1_cds_WP_011336770.1_50	1944	1645	241	25.3809
lcl|NZ_CP030271.1_cds_WP_011336771.1_51	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336772.1_52	1620	1321	128	16.7866
lcl|NZ_CP030271.1_cds_WP_002722143.1_53	1140	841	28	5.76791
lcl|NZ_CP030271.1_cds_WP_011336773.1_54	924	625	66	18.2945
lcl|NZ_CP030271.1_cds_WP_011336774.1_55	1590	1291	229	30.7302
lcl|NZ_CP030271.1_cds_56	57	2.178	0	0
lcl|NZ_CP030271.1_cds_WP_017140027.1_57	237	6.00353	0	0
lcl|NZ_CP030271.1_cds_WP_011336775.1_58	360	61.0822	41	116.285
lcl|NZ_CP030271.1_cds_WP_017140028.1_59	2334	2035	482	41.0335
lcl|NZ_CP030271.1_cds_WP_011336778.1_60	606	307	392	221.21
lcl|NZ_CP030271.1_cds_WP_002722157.1_61	348	49.4247	24	84.1247
lcl|NZ_CP030271.1_cds_WP_011336779.1_62	744	445	146	56.8393
lcl|NZ_CP030271.1_cds_WP_011336780.1_63	915	616	7340	2064.29
lcl|NZ_CP030271.1_cds_WP_029534491.1_64	645	346	2680	1341.88
lcl|NZ_CP030271.1_cds_WP_002722161.1_65	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336782.1_66	1230	931	5179	963.723
lcl|NZ_CP030271.1_cds_WP_017140029.1_67	1326	1027	527	88.8989
lcl|NZ_CP030271.1_cds_WP_011336784.1_68	1179	880	814	160.25
lcl|NZ_CP030271.1_cds_WP_011336785.1_69	3285	2986	1012	58.7147
lcl|NZ_CP030271.1_cds_WP_011336786.1_70	639	340	1828	931.437
lcl|NZ_CP030271.1_cds_WP_002722170.1_71	582	283	426	260.783
lcl|NZ_CP030271.1_cds_WP_002722172.1_72	327	31.3862	417	2301.72
lcl|NZ_CP030271.1_cds_WP_011336788.1_73	1578	1279	584	79.104
lcl|NZ_CP030271.1_cds_WP_011336789.1_74	543	244	6	4.26008
lcl|NZ_CP030271.1_cds_WP_017140031.1_75	324	29.2345	1	5.92599
lcl|NZ_CP030271.1_cds_WP_011336791.1_76	453	154	380	427.483
lcl|NZ_CP030271.1_cds_WP_011336792.1_77	339	41.1625	35	147.307
