target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	153	219.551
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	9	112.197
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	72	89.5176
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	127	146.91
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	33	115.189
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	24	49.1341
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	58	224.325
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	127	137.993
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	25	74.4257
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	22	18.3057
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	29	67.372
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	144	111.636
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	45	73.9179
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	43	62.6699
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	44	103.774
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	25	63.4648
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	21.4043	37.1246
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	9	19.5428
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	6	11.8659
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	29	56.1589
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	11	32.5392
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	5	14.0749
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	29	31.7324
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	2	4.09451
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	0	0
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	14	12.5705
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	55	78.6808
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	5	10.8067
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	7	15.1294
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	11	11.7599
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	8	24.9326
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	36	56.5401
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	5	9.97305
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	13	21.4297
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	25	93.5809
lcl|NZ_CP030271.1_cds_WP_011336761.1_39	531	232	12	72.2186
lcl|NZ_CP030271.1_cds_WP_011336762.1_40	1104	805	57	98.8633
lcl|NZ_CP030271.1_cds_WP_011336763.1_41	1272	973	42	60.2688
lcl|NZ_CP030271.1_cds_WP_002722128.1_42	1119	820	102	173.677
lcl|NZ_CP030271.1_cds_WP_002722129.1_43	639	340	5	20.5327
lcl|NZ_CP030271.1_cds_WP_011336764.1_44	465	166	4	33.644
lcl|NZ_CP030271.1_cds_WP_002722131.1_45	291	13.7365	2	203.288
lcl|NZ_CP030271.1_cds_WP_011336766.1_46	705	406	24	82.5356
lcl|NZ_CP030271.1_cds_WP_011336767.1_47	372	73.0112	0	0
lcl|NZ_CP030271.1_cds_WP_011336768.1_48	1098	799	92	160.767
lcl|NZ_CP030271.1_cds_WP_011336769.1_49	1239	940	195	289.643
lcl|NZ_CP030271.1_cds_WP_011336770.1_50	1944	1645	33	28.0094
lcl|NZ_CP030271.1_cds_WP_011336771.1_51	180	3.70659	0	0
